lat_grid,lon_grid_abs,time_windows,avg_crimes
41.87,87.68,1531,2.139124755062051
41.79,87.62,1945,4.541388174807198
41.85,87.62,1740,2.6959770114942527
41.93,87.76,1613,2.2331060136391816
41.92,87.69,1780,2.764044943820225
41.97,87.68,1283,1.7825409197194075
41.94,87.68,1170,1.6341880341880342
41.86,87.72,1963,5.181355068772287
42.01,87.78,219,1.0776255707762556
41.94,87.72,1581,2.228969006957622
41.84,87.61,880,1.6375
41.97,87.67,1446,2.008298755186722
41.88,87.75,1985,6.433249370277078
41.92,87.68,1464,1.930327868852459
41.95,87.67,1335,1.8277153558052435
41.99,87.76,127,1.0551181102362204
41.91,87.65,1715,4.073469387755102
41.96,87.79,390,1.1666666666666667
41.88,87.69,1823,3.0049369171695006
41.92,87.73,1679,2.5175699821322217
42.0,87.89,41,1.0
41.97,87.65,1745,2.891117478510029
41.72,87.57,1343,1.802680565897245
41.95,87.91,130,1.4230769230769231
41.65,87.61,909,1.396039603960396
41.97,87.84,457,1.1509846827133479
41.71,87.65,1360,1.8573529411764707
41.73,87.59,1498,2.0146862483311083
41.93,87.68,1419,2.430584918957012
41.87,87.64,1758,3.7468714448236633
41.72,87.62,1700,2.363529411764706
41.79,87.61,1126,1.630550621669627
41.89,87.78,153,1.065359477124183
41.88,87.74,1936,4.601756198347108
41.76,87.67,1578,2.276299112801014
41.84,87.63,1634,2.4363525091799265
41.99,87.69,1438,1.9714881780250348
41.65,87.62,731,1.3132694938440492
41.74,87.63,1687,3.2940130409010075
41.71,87.63,1635,2.3510703363914374
41.98,87.82,424,1.1721698113207548
41.64,87.6,15,1.0
41.68,87.69,38,1.0263157894736843
42.01,87.79,74,1.054054054054054
41.72,87.55,829,1.3039806996381182
41.99,87.84,156,1.0897435897435896
41.67,87.55,97,1.0309278350515463
41.66,87.59,207,1.1207729468599035
41.65,87.56,82,1.0853658536585367
41.97,87.87,16,1.0
41.96,87.91,37,1.0810810810810811
41.96,87.63,27,1.0
